'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'@lulapelobrasil eles provaram, por isso é réu em 7 inquéritos e já condenado em 1 vai faltar dedos pra tantos inquéritos '",Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'rt @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  https://t…'",Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'@lulapelobrasil verdade molusco, as pessoas de bem querem , que venha a decisão do trf4 para ir dormir em um presídio'",Positive
' https://tco/6bnrgtkich',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@ptbrasil @lulapelobrasil #obrasilqueopovoquer  https://tco/iajq68hmcm',Neutral
'rt @luxajuda: bandido diz que bandido tem que ser preso    https://tco/wk9gzmzbyl',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@luxajuda sábias palavras ',Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do ',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'rt @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  https://t…'",Neutral
'rt @luxajuda: bandido diz que bandido tem que ser preso    https://tco/wk9gzmzbyl',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do ',Neutral
'rt @adrianadririo:  preso e condenado pelo bem do brasil  atirei o pau no lula https://tco/jgakxpfjjl',Positive
'rt @titoporto10: @lulapelobrasil  https://tco/mppeo5gtlz',Neutral
'@bbcbrasil continuem assim força companheiros ',Neutral
'@lulapelobrasil vc é essa elite né ',Neutral
'@lulapelobrasil lula na cadeia queremos ',Neutral
"'@ptbrasil @ajulysantos @lulapelobrasil 15 anos no poder e deixaram o que um país falido, sem educação, sem saúde e nas mãos da bandidagem  #unidossomosfortes'",Negative
'rt @luxajuda: eu sou honesto doutor moro   https://tco/fgqk0xekmw',Positive
'rt @luxajuda: eu sou honesto doutor moro   https://tco/fgqk0xekmw',Positive
'vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs',Neutral
'@lulapelobrasil quinta feira é dia de pinga no café da manhã chupa @jqteixeira aqui o fim de semana já começou #pas ',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @iaragb: @lulapelobrasil lula na cadeia queremos ',Neutral
'bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz',Positive
'pt bandido e ladrão quer demonstrar ética e integridade   https://tco/98xsdbxipx',Neutral
'@marciafab @lulapelobrasil ',Neutral
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…',Neutral
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs',Neutral
'rt @luxajuda: pt bandido e ladrão quer demonstrar ética e integridade   https://tco/98xsdbxipx',Neutral
'https://tco/mopy4l7al4 #politica #lavajato #policiafederal #corrupçao #foracorruptos #ptnuncamais  #foratemer #sos #brasil',Neutral
'chupaqueacanaédoce quer ser presidente do brasil    https://tco/hos5tdcqd2',Neutral
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  https://tco/jrzkbompbi https://tco/q5b9wqjit3'",Neutral
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…',Neutral
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'",Neutral
'hihihi    https://tco/6kbjneyjnf',Neutral
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  https://tco/0kzhg4bhzz https://tco/iefkiyo3cf'",Neutral
"'@lulapelobrasil claro, porque o resto que tem ou está no nome de laranjas ou bloqueado na justiça vá pro inferno lula '",Negative
'chupaqueacanaédoce quer ser presidente do brasil pra não ser preso   https://tco/yen9aqzeir',Neutral
'vitória do povo brasileiro  https://tco/idsyefuvu8',Neutral
'xupakeakanaedoce diz que a cana é doce mas não quer ir em cana    https://tco/hos5tdcqd2',Negative
"'#brasilqueopovoquer o brasil livre da quadrilha do pt, pmdb e psdb '",Neutral
'onde xupakeakanaedoce escondeu o dinheiro que o pt roubou do brasil   https://tco/hos5tdcqd2',Negative
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'xupakeakanaedoce vai ser preso antes do natal ou depois do natal    https://tco/hos5tdcqd2',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @luxajuda: xupakeakanaedoce vai ser preso antes do natal ou depois do natal    https://tco/hos5tdcqd2',Neutral
"'para destruir o brasil, aperta 13 e confirma #ptnuncamais  #tocommoro https://tco/9yx1s1yl2u'",Negative
